acceptance,受け入れ,ækˈsɛptəns
desktop,デスクトップ；机の表面,ˈdɛskˌtɑp
dishwasher,食器洗い機,ˈdɪˌʃwɑʃər
doorman,玄関世話係,ˈdɔrˌmæn
download,ダウンロード,ˈdaʊnˌloʊd
downsize,小型化,ˈdaʊnˌsaɪz
downstairs,階下,ˈdaʊnˈstɛrz
downtown,中心部へ；繁華街；商業地区の；,ˈdaʊnˈtaʊn
downturn,低迷,ˈdaʊnˌtɜrn
feedback,反応；反響；感想；意見；ハウリング,ˈfidˌbæk
footwear,履物,ˈfʊˌtwɛr
fundraise,資金集め,fundraise
getaway,逃げる,ˈgɛtəˌweɪ
hallway,廊下,ˈhɔlˌweɪ
hardworking,勤勉な,ˈhɑrˌdwɜrkɪŋ
headache,頭痛,ˈhɛˌdeɪk
headphone,ヘッドホン,ˈhɛdˌfoʊn
healthcare,健康管理,ˈhɛlθˌkɛr
homemade,自家製,ˈhoʊmˈmeɪd
homeowner,家主,ˈhoʊˌmoʊnər
homework,宿題,ˈhoʊmˌwɜrk
housekeeper,お手伝いさん,ˈhaʊˌskipər
incoming,入ってくる；後任の；次に来る；次期,ˈɪnˌkʌmɪŋ
laptop,ノートパソコン,ˈlæpˌtɑp
layoff,一時解雇する,ˈleɪˌɔf
layout,レイアウト；設計,ˈleɪˌaʊt
letterhead,レターヘッド（便箋上部の会社名･住所などの印刷）,ˈlɛtərˌhɛd
lifeguard,監視員；救助員；ライフセーバー；監視員をする,ˈlaɪfˌgɑrd
lifestyle,生活様式；暮らしぶり；ライフスタイル,ˈlaɪfˌstaɪl
lifetime,一生,ˈlaɪfˌtaɪm
lunchtime,昼食時間,ˈlʌnʧˌtaɪm
midnight,真夜中,ˈmɪdˌnaɪt
motorcycle,オートバイ,ˈmoʊtərˌsaɪkəl
newsletter,広報；社報；会報,ˈnuˌzlɛtər
newsstand,新聞売り場,ˈnuzˌstænd
outstanding,傑出した；目立った；未払いの；未解決の,ˌaʊtˈstændɪŋ
overtime,"超過勤務, 残業；残業手当；延長戦；時間外の,超過勤務の；時間外で；勤務時間を超過して",ˈoʊvərˌtaɪm
paperback,紙表紙本の,ˈpeɪpərˌbæk
paperwork,事務処理,ˈpeɪpərˌwɜrk
paycheck,給料,ˈpeɪˌʧɛk
popcorn,ポップコーン,ˈpɑpˌkɔrn
postcard,葉書,ˈpoʊstˌkɑrd
proofread,校正,ˈpruˌfrid
railway,鉄道,ˈreɪlˌweɪ
raincoat,レインコート,ˈreɪnˌkoʊt
rainfall,降雨,ˈreɪnˌfɔl
restroom,トイレ；お手洗い,ˈrɛˌstrum
salesman,男性店員；男性販売員；男性外交官；営業マン,ˈseɪlzmən
salespeople,営業担当者,ˈseɪlzˌpipəl
salesperson,店員,ˈseɪlzˌpɜrsən
seafood,海産食品；魚介,ˈsiˌfud
seaside,海岸；海岸の,ˈsiˌsaɪd
showroom,(商品の)展示室,ˈʃoʊˌrʊm
sidewalk,歩道,ˈsaɪˌdwɔk
sightsee,観光旅行をする；見物する,ˈsaɪtˈsi
skateboard,スケートボード,ˈskeɪtˌbɔrd
someday,何時か,ˈsʌmˌdeɪ
spokesperson,代弁者,ˈspoʊkspərsən
stockholder,株主,ˈstɑkˌhoʊldər
storeroom,納戸,ˈstɔrˌrum
suitcase,旅行かばん,ˈsutˌkeɪs
sunscreen,日焼け止め,sənˈskrin
supermarket,スーパーマーケット,ˈsupərˌmɑrkɪt
takeover,買収,ˈteɪˌkoʊvər
textbook,教科書,ˈtɛkstˌbʊk
thunderstorm,雷雨,ˈθʌndərˌstɔrm
timeline,スケジュール表；歴史年表,ˈtaɪmlaɪn
timetable,時刻表,ˈtaɪmˌteɪbəl
trademark,商標,ˈtreɪdˌmɑrk
underground,地下,ˈʌndərˌgraʊnd
upstairs,二階,əpˈstɛrz
videoconference,ビデオ会議,ˈvidioʊˌkɑnfrəns
walkway,歩道,ˈwɔˌkweɪ
webpage,ウェブページ,webpage
website,ウェブサイト,ˈwɛbˌsaɪt
weekday,平日,ˈwikˌdeɪ
wheelchair,車椅子,ˈwilˌʧɛr
wildlife,野生動物,ˈwaɪlˌdlaɪf
workbook,練習帳；取扱説明書；作業手引書,workbook
workforce,労働力,ˈwɜrkˌfɔrs
workplace,職場,ˈwɜrkˌpleɪs
workshop,工房,ˈwɜrkˌʃɑp
worldwide,世界的に,ˈwɜrlˈdwaɪd
wristwatch,腕時計,ˈrɪˌstwɑʧ
pole,棒；柱；電柱；さおを突いて進める,poʊl
coworker,同僚,ˈkoʊˈwɜrkər
headquarter,本社,ˈhɛdˌkwɔrtər
wellness,健康（な状態）,ˈwɛlnəs
sharply,鋭く,ˈʃɑrpli
manual,手動の；手引書；マニュアル,ˈmænjuəl
advancement,昇進；昇給；出世；進歩；向上；促進,ədˈvænsmənt
ma'am,奥様,mæm
appetizer,前菜,ˈæpəˌtaɪzər
checkup,調べる,ˈʧɛˌkʌp
healthful,健康的な,ˈhɛlθfəl
housekeep,家政婦；清掃係,housekeep
o'clock,時,əˈklɑk
renter,借家人,ˈrɛntər
stapler,ホッチキス；主要物品商；羊毛商；羊毛を選別する人,ˈsteɪpələr
bound,限界；境界；はずむ,baʊnd
distractor,気を散らすもの；(選択式問題の)誤った選択肢.,dɪˈstræktər
ice cream,アイスクリーム,aɪs krim
repairperson,修理人,repairperson
unauthorized,不正,əˈnɔθəˌraɪzd
misidentify,誤認,mɪsaɪˈdɛntəˌfaɪ
